timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1507100304.355,857.035,812.620,848.810,840.585,0.000,0.000,2
1507100304.355,962.313,815.910,857.035,870.195,0.000,0.000,0
1507100304.355,857.035,817.555,848.810,837.295,0.000,0.000,0
1507100304.355,804.395,812.620,838.940,810.975,0.000,0.000,0
1507100304.355,857.035,807.685,843.875,835.650,0.000,0.000,0
1507100304.355,909.674,812.620,852.100,861.970,0.000,0.000,0
1507100304.355,909.674,822.490,850.455,858.680,0.000,0.000,0
1507100304.355,804.395,814.265,840.585,827.425,0.000,0.000,0
1507100304.355,804.395,806.040,837.295,801.105,0.000,0.000,0
1507100304.355,909.674,812.620,848.810,848.810,0.000,0.000,0
1507100304.355,909.674,815.910,852.100,863.615,0.000,0.000,0
1507100304.355,804.395,815.910,843.875,829.070,0.000,0.000,0
1507100304.355,804.395,806.040,837.295,806.040,0.000,0.000,0
1507100304.355,857.035,812.620,843.875,845.520,0.000,0.000,0
1507100304.355,909.674,814.265,852.100,865.260,0.000,0.000,0
1507100304.355,857.035,815.910,843.875,847.165,0.000,0.000,0
1507100304.426,857.035,812.620,835.650,810.975,0.000,0.000,0
1507100304.426,909.674,809.330,838.940,834.005,0.000,0.000,0
1507100304.426,962.313,809.330,850.455,866.905,0.000,0.000,0
1507100304.426,962.313,810.975,850.455,863.615,0.000,0.000,0
1507100304.426,857.035,810.975,840.585,832.360,0.000,0.000,0
1507100304.426,857.035,802.750,838.940,802.750,0.000,0.000,0
1507100304.426,909.674,812.620,845.520,835.650,0.000,0.000,0
1507100304.426,962.313,815.910,855.390,868.550,0.000,0.000,0
1507100304.426,909.674,814.265,847.165,834.005,0.000,0.000,0
1507100304.426,857.035,809.330,840.585,817.555,0.000,0.000,0
1507100304.426,857.035,804.395,843.875,820.845,0.000,0.000,0
1507100304.426,909.674,810.975,852.100,852.100,0.000,0.000,0
1507100304.426,909.674,812.620,847.165,857.035,0.000,0.000,0
1507100304.426,804.395,810.975,837.295,814.265,0.000,0.000,0
1507100304.426,804.395,810.975,840.585,827.425,0.000,0.000,0
1507100304.426,857.035,809.330,847.165,845.520,0.000,0.000,0
1507100304.426,927.769,812.620,853.745,863.615,0.000,0.000,0
1507100304.507,875.130,812.620,842.230,837.295,0.000,0.000,0
1507100304.507,822.490,807.685,832.360,801.105,0.000,0.000,0
1507100304.507,875.130,807.685,842.230,832.360,0.000,0.000,0
1507100304.507,927.769,807.685,848.810,850.455,0.000,0.000,0
1507100304.507,927.769,814.265,847.165,863.615,0.000,0.000,0
1507100304.507,822.490,806.040,837.295,829.070,0.000,0.000,0
1507100304.507,822.490,801.105,838.940,812.620,0.000,0.000,0
1507100304.507,875.130,804.395,848.810,848.810,0.000,0.000,0
1507100304.507,875.130,809.330,847.165,850.455,0.000,0.000,0
1507100304.507,822.490,810.975,838.940,829.070,0.000,0.000,0
1507100304.507,822.490,804.395,832.360,809.330,0.000,0.000,0
1507100304.507,875.130,802.750,842.230,829.070,0.000,0.000,0
1507100304.507,927.769,810.975,852.100,848.810,0.000,0.000,0
1507100304.507,875.130,815.910,848.810,853.745,0.000,0.000,0
1507100304.507,822.490,810.975,837.295,827.425,0.000,0.000,0
1507100304.507,822.490,801.105,838.940,825.780,0.000,0.000,0
1507100304.574,927.769,804.395,843.875,850.455,0.000,0.000,0
1507100304.574,980.408,814.265,845.520,850.455,0.000,0.000,0
1507100304.574,927.769,815.910,835.650,819.200,0.000,0.000,0
1507100304.574,980.408,809.330,835.650,822.490,0.000,0.000,0
1507100304.574,1033.048,807.685,845.520,842.230,0.000,0.000,0
1507100304.574,1085.687,812.620,850.455,870.195,0.000,0.000,0
1507100304.574,980.408,815.910,840.585,843.875,0.000,0.000,0
1507100304.574,927.769,806.040,832.360,827.425,0.000,0.000,0
1507100304.574,927.769,806.040,834.005,807.685,0.000,0.000,0
1507100304.574,980.408,814.265,847.165,838.940,0.000,0.000,0
1507100304.574,980.408,820.845,847.165,852.100,0.000,0.000,0
1507100304.574,875.130,814.265,837.295,819.200,0.000,0.000,0
1507100304.574,875.130,807.685,838.940,829.070,0.000,0.000,0
1507100304.574,927.769,810.975,843.875,848.810,0.000,0.000,0
1507100304.574,927.769,815.910,845.520,852.100,0.000,0.000,0
1507100304.574,822.490,815.910,835.650,830.715,0.000,0.000,0
1507100304.639,875.130,804.395,830.715,822.490,0.000,0.000,0
1507100304.639,927.769,807.685,840.585,837.295,0.000,0.000,0
1507100304.639,980.408,814.265,850.455,852.100,0.000,0.000,0
1507100304.639,927.769,817.555,847.165,850.455,0.000,0.000,0
1507100304.639,875.130,809.330,835.650,804.395,0.000,0.000,0
1507100304.639,875.130,809.330,835.650,817.555,0.000,0.000,0
1507100304.639,927.769,814.265,845.520,853.745,0.000,0.000,0
1507100304.639,927.769,812.620,845.520,845.520,0.000,0.000,0
1507100304.639,822.490,815.910,837.295,827.425,0.000,0.000,0
1507100304.639,822.490,806.040,835.650,815.910,0.000,0.000,0
1507100304.639,875.130,810.975,845.520,843.875,0.000,0.000,0
1507100304.639,927.769,817.555,853.745,875.130,0.000,0.000,0
1507100304.639,875.130,814.265,842.230,850.455,0.000,0.000,0
1507100304.639,822.490,809.330,834.005,819.200,0.000,0.000,0
1507100304.639,875.130,812.620,840.585,832.360,0.000,0.000,0
1507100304.639,927.769,812.620,848.810,866.905,0.000,0.000,0
1507100304.722,980.408,814.265,847.165,858.680,0.000,0.000,0
1507100304.722,875.130,810.975,837.295,820.845,0.000,0.000,0
1507100304.722,875.130,804.395,835.650,815.910,0.000,0.000,0
1507100304.722,927.769,809.330,843.875,834.005,0.000,0.000,0
1507100304.722,980.408,809.330,848.810,863.615,0.000,0.000,0
1507100304.722,875.130,810.975,840.585,834.005,0.000,0.000,0
1507100304.722,822.490,804.395,834.005,809.330,0.000,0.000,0
1507100304.722,875.130,802.750,840.585,830.715,0.000,0.000,0
1507100304.722,927.769,807.685,850.455,853.745,0.000,0.000,0
1507100304.722,927.769,812.620,845.520,863.615,0.000,0.000,0
1507100304.722,822.490,806.040,834.005,825.780,0.000,0.000,0
1507100304.722,822.490,804.395,834.005,814.265,0.000,0.000,0
1507100304.722,875.130,809.330,840.585,845.520,0.000,0.000,0
1507100304.722,875.130,810.975,845.520,871.840,0.000,0.000,0
1507100304.722,769.851,810.975,837.295,825.780,0.000,0.000,0
1507100304.722,769.851,804.395,837.295,824.135,0.000,0.000,0
1507100304.789,875.130,802.750,842.230,824.135,0.000,0.000,0
1507100304.789,980.408,810.975,850.455,855.390,0.000,0.000,0
1507100304.789,927.769,817.555,847.165,850.455,0.000,0.000,0
1507100304.789,875.130,812.620,835.650,837.295,0.000,0.000,0
1507100304.789,875.130,804.395,834.005,827.425,0.000,0.000,0
1507100304.789,927.769,814.265,847.165,838.940,0.000,0.000,0
1507100304.789,927.769,817.555,850.455,870.195,0.000,0.000,0
1507100304.789,822.490,814.265,837.295,825.780,0.000,0.000,0
1507100304.789,822.490,809.330,837.295,814.265,0.000,0.000,0
1507100304.789,875.130,809.330,845.520,850.455,0.000,0.000,0
