timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1512340287.296,919.544,801.105,838.940,919.544,0.000,0.000,0
1512340287.300,911.319,807.685,837.295,908.029,0.000,0.000,0
1512340287.305,909.674,825.780,834.005,899.804,0.000,0.000,0
1512340287.309,919.544,807.685,858.680,912.964,0.000,0.000,0
1512340287.314,919.544,822.490,843.875,908.029,0.000,0.000,0
1512340287.319,919.544,815.910,829.070,908.029,0.000,0.000,0
1512340287.323,921.189,832.360,830.715,906.384,0.000,0.000,0
1512340287.328,924.479,824.135,838.940,908.029,0.000,0.000,0
1512340287.332,901.449,810.975,837.295,906.384,0.000,0.000,0
1512340287.337,919.544,820.845,853.745,922.834,0.000,0.000,0
1512340287.341,917.899,802.750,850.455,906.384,0.000,0.000,0
1512340287.346,906.384,807.685,838.940,888.289,0.000,0.000,0
1512340287.350,912.964,799.460,845.520,870.195,0.000,0.000,0
1512340287.355,896.514,792.881,840.585,855.390,0.000,0.000,0
1512340287.359,891.579,807.685,843.875,858.680,0.000,0.000,0
1512340287.364,893.224,815.910,845.520,860.325,0.000,0.000,0
1512340287.368,898.159,812.620,852.100,876.775,0.000,0.000,0
1512340287.373,891.579,814.265,847.165,873.485,0.000,0.000,0
1512340287.377,889.934,812.620,843.875,868.550,0.000,0.000,0
1512340287.382,901.449,807.685,845.520,878.419,0.000,0.000,0
1512340287.386,889.934,819.200,842.230,873.485,0.000,0.000,0
1512340287.391,886.644,838.940,850.455,896.514,0.000,0.000,0
1512340287.396,889.934,822.490,847.165,917.899,0.000,0.000,0
1512340287.400,876.775,812.620,845.520,896.514,0.000,0.000,0
1512340287.405,873.485,812.620,847.165,889.934,0.000,0.000,0
1512340287.409,868.550,809.330,848.810,884.999,0.000,0.000,0
1512340287.414,871.840,817.555,850.455,884.999,0.000,0.000,0
1512340287.418,870.195,806.040,847.165,898.159,0.000,0.000,0
1512340287.423,880.064,787.946,822.490,904.739,0.000,0.000,0
1512340287.427,870.195,791.236,834.005,888.289,0.000,0.000,0
1512340287.432,868.550,810.975,871.840,875.130,0.000,0.000,0
1512340287.436,880.064,824.135,871.840,894.869,0.000,0.000,0
1512340287.441,876.775,802.750,860.325,883.354,0.000,0.000,0
1512340287.445,852.100,802.750,835.650,865.260,0.000,0.000,0
1512340287.450,855.390,815.910,847.165,865.260,0.000,0.000,0
1512340287.454,845.520,792.881,857.035,858.680,0.000,0.000,0
1512340287.459,860.325,820.845,871.840,870.195,0.000,0.000,0
1512340287.463,868.550,789.591,852.100,886.644,0.000,0.000,0
1512340287.468,868.550,797.815,838.940,883.354,0.000,0.000,0
1512340287.473,871.840,819.200,847.165,884.999,0.000,0.000,0
1512340287.477,880.064,812.620,871.840,868.550,0.000,0.000,0
1512340287.482,861.970,832.360,850.455,848.810,0.000,0.000,0
1512340287.486,860.325,810.975,855.390,861.970,0.000,0.000,0
1512340287.491,861.970,806.040,865.260,858.680,0.000,0.000,0
1512340287.495,866.905,801.105,853.745,861.970,0.000,0.000,0
1512340287.500,860.325,791.236,850.455,845.520,0.000,0.000,0
1512340287.504,853.745,804.395,848.810,830.715,0.000,0.000,0
1512340287.509,842.230,838.940,850.455,825.780,0.000,0.000,0
1512340287.513,860.325,817.555,852.100,852.100,0.000,0.000,0
1512340287.518,858.680,822.490,857.035,850.455,0.000,0.000,0
1512340287.522,847.165,810.975,852.100,852.100,0.000,0.000,0
1512340287.527,847.165,806.040,840.585,858.680,0.000,0.000,0
1512340287.531,840.585,819.200,843.875,853.745,0.000,0.000,0
1512340287.536,848.810,806.040,865.260,843.875,0.000,0.000,0
1512340287.540,843.875,796.170,852.100,843.875,0.000,0.000,0
1512340287.545,850.455,797.815,857.035,850.455,0.000,0.000,0
1512340287.550,842.230,830.715,853.745,838.940,0.000,0.000,0
1512340287.554,848.810,814.265,850.455,853.745,0.000,0.000,0
1512340287.559,843.875,801.105,848.810,840.585,0.000,0.000,0
1512340287.563,845.520,819.200,847.165,840.585,0.000,0.000,0
1512340287.568,847.165,829.070,845.520,852.100,0.000,0.000,0
1512340287.572,865.260,817.555,857.035,857.035,0.000,0.000,0
1512340287.577,853.745,810.975,855.390,855.390,0.000,0.000,0
1512340287.581,842.230,806.040,845.520,837.295,0.000,0.000,0
1512340287.586,848.810,820.845,847.165,830.715,0.000,0.000,0
1512340287.590,848.810,822.490,847.165,837.295,0.000,0.000,0
1512340287.595,860.325,829.070,853.745,853.745,0.000,0.000,0
1512340287.599,850.455,812.620,848.810,848.810,0.000,0.000,0
1512340287.604,866.905,807.685,847.165,866.905,0.000,0.000,0
1512340287.608,876.775,829.070,855.390,873.485,0.000,0.000,0
1512340287.613,852.100,802.750,858.680,861.970,0.000,0.000,0
1512340287.617,847.165,794.526,858.680,845.520,0.000,0.000,0
1512340287.622,845.520,822.490,853.745,832.360,0.000,0.000,0
1512340287.627,852.100,829.070,848.810,847.165,0.000,0.000,0
1512340287.631,883.354,819.200,857.035,883.354,0.000,0.000,0
1512340287.636,873.485,809.330,861.970,893.224,0.000,0.000,0
1512340287.640,889.934,799.460,863.615,903.094,0.000,0.000,0
1512340287.645,889.934,814.265,866.905,893.224,0.000,0.000,0
1512340287.649,878.419,820.845,860.325,876.775,0.000,0.000,0
1512340287.654,889.934,822.490,857.035,880.064,0.000,0.000,0
1512340287.658,868.550,799.460,857.035,860.325,0.000,0.000,0
1512340287.663,866.905,810.975,857.035,857.035,0.000,0.000,0
1512340287.667,866.905,824.135,855.390,861.970,0.000,0.000,0
1512340287.672,860.325,810.975,861.970,860.325,0.000,0.000,0
1512340287.676,870.195,832.360,861.970,871.840,0.000,0.000,0
1512340287.681,873.485,799.460,857.035,873.485,0.000,0.000,0
1512340287.685,861.970,801.105,861.970,847.165,0.000,0.000,0
1512340287.690,865.260,827.425,855.390,850.455,0.000,0.000,0
1512340287.694,860.325,810.975,853.745,837.295,0.000,0.000,0
1512340287.699,860.325,825.780,850.455,845.520,0.000,0.000,0
1512340287.704,860.325,822.490,852.100,860.325,0.000,0.000,0
1512340287.708,837.295,830.715,850.455,842.230,0.000,0.000,0
1512340287.713,870.195,815.910,857.035,863.615,0.000,0.000,0
1512340287.717,863.615,806.040,855.390,858.680,0.000,0.000,0
1512340287.722,853.745,810.975,853.745,845.520,0.000,0.000,0
1512340287.726,868.550,807.685,858.680,858.680,0.000,0.000,0
1512340287.731,855.390,843.875,848.810,843.875,0.000,0.000,0
1512340287.735,861.970,827.425,847.165,850.455,0.000,0.000,0
1512340287.740,863.615,814.265,848.810,847.165,0.000,0.000,0
1512340287.744,860.325,807.685,850.455,838.940,0.000,0.000,0
1512340287.749,852.100,820.845,850.455,843.875,0.000,0.000,0
1512340287.753,857.035,809.330,853.745,857.035,0.000,0.000,0
1512340287.758,848.810,804.395,853.745,860.325,0.000,0.000,0
1512340287.762,843.875,819.200,850.455,858.680,0.000,0.000,0
1512340287.767,857.035,809.330,848.810,853.745,0.000,0.000,0
1512340287.771,853.745,835.650,843.875,847.165,0.000,0.000,0
1512340287.776,850.455,822.490,850.455,842.230,0.000,0.000,0
1512340287.781,830.715,829.070,848.810,825.780,0.000,0.000,0
1512340287.785,829.070,827.425,853.745,840.585,0.000,0.000,0
1512340287.790,830.715,820.845,855.390,840.585,0.000,0.000,0
1512340287.794,835.650,809.330,850.455,848.810,0.000,0.000,0
1512340287.799,842.230,797.815,848.810,852.100,0.000,0.000,0
1512340287.803,843.875,810.975,850.455,845.520,0.000,0.000,0
1512340287.808,824.135,815.910,838.940,834.005,0.000,0.000,0
1512340287.812,837.295,814.265,843.875,853.745,0.000,0.000,0
