,0,1
0,[3],1512340100.706638
1,[1],1512340105.452394
2,[1],1512340106.008184
3,[1],1512340106.655509
4,[2],1512340107.273732
5,[2],1512340107.785236
6,[1],1512340108.414315
7,[1],1512340109.068232
8,[2],1512340109.60299
9,[1],1512340110.131156
10,[1],1512340110.699497
11,[1],1512340111.369999
12,[1],1512340111.986471
13,[1],1512340112.537346
14,[1],1512340113.140945
15,[1],1512340113.668858
16,[1],1512340114.172739
17,[1],1512340114.800508
18,[1],1512340115.42159
19,[2],1512340116.02376
20,[1],1512340116.540793
21,[2],1512340117.236661
22,[2],1512340117.902457
23,[2],1512340118.435156
24,[1],1512340118.989658
25,[1],1512340119.564747
26,[2],1512340120.069017
27,[1],1512340120.748736
28,[1],1512340121.261024
29,[1],1512340121.920699
30,[2],1512340122.563024
31,[1],1512340123.238825
32,[1],1512340123.816051
33,[1],1512340124.328198
34,[2],1512340124.914738
35,[1],1512340125.458883
36,[1],1512340126.024262
37,[2],1512340126.599393
38,[1],1512340127.276257
39,[1],1512340127.833587
40,[1],1512340128.423826
41,[1],1512340129.058123
42,[1],1512340129.620501
43,[1],1512340130.195208
44,[1],1512340130.860655
45,[1],1512340131.467152
46,[2],1512340132.090568
47,[2],1512340132.733863
48,[1],1512340133.258955
49,[1],1512340133.774358
50,[1],1512340134.427506
51,[1],1512340134.974849
52,[2],1512340135.577818
53,[1],1512340136.20252
54,[2],1512340136.751717
55,[2],1512340137.391248
56,[2],1512340137.927795
57,[1],1512340138.446826
58,[1],1512340139.004361
59,[1],1512340139.649345
60,[2],1512340140.269676
61,[1],1512340140.931611
62,[1],1512340141.438173
63,[1],1512340141.990989
64,[1],1512340142.590608
65,[1],1512340143.132194
66,[2],1512340143.72699
67,[1],1512340144.239214
68,[1],1512340144.768835
69,[2],1512340145.457601
70,[1],1512340146.028288
71,[1],1512340146.655018
72,[2],1512340147.29558
73,[1],1512340147.929417
74,[1],1512340148.570908
75,[1],1512340149.109712
76,[1],1512340149.768643
77,[1],1512340150.461294
78,[2],1512340151.031073
79,[2],1512340151.600841
80,[2],1512340152.30145
81,[1],1512340152.935122
82,[1],1512340153.446012
83,[1],1512340154.026417
84,[1],1512340154.567067
85,[2],1512340155.210554
86,[1],1512340155.870583
87,[2],1512340156.390284
88,[2],1512340156.959023
89,[2],1512340157.571182
90,[2],1512340158.096953
91,[1],1512340158.635361
92,[1],1512340159.317568
93,[1],1512340159.993784
94,[1],1512340160.551038
95,[1],1512340161.160629
96,[1],1512340161.852294
97,[2],1512340162.495686
98,[1],1512340163.128601
99,[1],1512340163.782327
100,[1],1512340164.434951
101,[1],1512340165.122459
102,[2],1512340165.670991
103,[1],1512340166.255618
104,[2],1512340166.935234
105,[1],1512340167.585179
106,[1],1512340168.261139
107,[1],1512340168.933593
108,[1],1512340169.543078
109,[1],1512340170.07209
110,[1],1512340170.680755
111,[1],1512340171.261493
112,[1],1512340171.793743
113,[2],1512340172.449901
114,[1],1512340173.094514
115,[1],1512340173.668934
116,[1],1512340174.230246
117,[1],1512340174.751196
118,[2],1512340175.415486
119,[1],1512340175.973413
120,[1],1512340176.489784
121,[1],1512340177.18738
122,[1],1512340177.855472
123,[1],1512340178.45845
124,[1],1512340179.054523
125,[1],1512340179.738483
126,[1],1512340180.312098
127,[1],1512340180.947531
128,[1],1512340181.486564
129,[1],1512340182.186259
130,[1],1512340182.727314
131,[1],1512340183.379892
132,[2],1512340184.03782
133,[1],1512340184.61427
134,[1],1512340185.219992
135,[1],1512340185.8992
136,[1],1512340186.586149
137,[2],1512340187.256612
138,[1],1512340187.759022
139,[2],1512340188.266592
140,[1],1512340188.867074
141,[2],1512340189.41725
142,[1],1512340190.011212
143,[1],1512340190.614904
144,[1],1512340191.17642
145,[2],1512340191.83567
146,[1],1512340192.511651
147,[1],1512340193.177792
148,[1],1512340193.687537
149,[1],1512340194.321264
150,[2],1512340194.951057
151,[1],1512340195.550675
152,[2],1512340196.168683
153,[2],1512340196.697205
154,[1],1512340197.277488
155,[2],1512340197.906085
156,[1],1512340198.426064
157,[1],1512340198.938014
158,[1],1512340199.487758
159,[2],1512340200.075457
160,[1],1512340200.729867
161,[1],1512340201.319986
162,[1],1512340201.966716
163,[2],1512340202.51504
164,[2],1512340203.097233
165,[2],1512340203.734998
166,[1],1512340204.378637
167,[1],1512340205.00521
168,[1],1512340205.532312
169,[1],1512340206.132172
170,[2],1512340206.828988
171,[1],1512340207.43024
172,[1],1512340207.966538
173,[1],1512340208.604061
174,[2],1512340209.286245
175,[1],1512340209.908243
176,[1],1512340210.590442
177,[1],1512340211.110156
178,[1],1512340211.62101
179,[1],1512340212.251166
180,[2],1512340212.81083
181,[2],1512340213.5094
182,[1],1512340214.058041
183,[2],1512340214.5617
184,[2],1512340215.080629
185,[1],1512340215.591253
186,[2],1512340216.182913
187,[2],1512340216.705833
188,[1],1512340217.270887
189,[1],1512340217.78563
190,[2],1512340218.466639
191,[1],1512340219.076395
192,[2],1512340219.77734
193,[2],1512340220.362964
194,[1],1512340220.90483
195,[3],1512340223.105912
