timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1507100995.119,847.165,819.200,847.165,835.650,0.000,0.000,2
1507100995.119,850.455,824.135,852.100,838.940,0.000,0.000,0
1507100995.119,855.390,824.135,853.745,843.875,0.000,0.000,0
1507100995.119,845.520,827.425,855.390,829.070,0.000,0.000,0
1507100995.119,835.650,820.845,847.165,835.650,0.000,0.000,0
1507100995.119,835.650,815.910,847.165,827.425,0.000,0.000,0
1507100995.119,848.810,822.490,852.100,838.940,0.000,0.000,0
1507100995.119,850.455,825.780,852.100,850.455,0.000,0.000,0
1507100995.119,853.745,827.425,853.745,838.940,0.000,0.000,0
1507100995.119,852.100,822.490,843.875,842.230,0.000,0.000,0
1507100995.119,850.455,824.135,850.455,847.165,0.000,0.000,0
1507100995.119,843.875,825.780,853.745,837.295,0.000,0.000,0
1507100995.119,843.875,822.490,848.810,835.650,0.000,0.000,0
1507100995.119,855.390,824.135,845.520,835.650,0.000,0.000,0
1507100995.119,847.165,815.910,845.520,835.650,0.000,0.000,0
1507100995.119,853.745,815.910,855.390,845.520,0.000,0.000,0
1507100995.186,842.230,815.910,853.745,840.585,0.000,0.000,0
1507100995.186,830.715,824.135,850.455,827.425,0.000,0.000,0
1507100995.186,842.230,825.780,843.875,830.715,0.000,0.000,0
1507100995.186,835.650,825.780,850.455,845.520,0.000,0.000,0
1507100995.186,845.520,830.715,855.390,840.585,0.000,0.000,0
1507100995.186,847.165,820.845,850.455,837.295,0.000,0.000,0
1507100995.186,835.650,814.265,845.520,837.295,0.000,0.000,0
1507100995.186,843.875,814.265,845.520,834.005,0.000,0.000,0
1507100995.186,847.165,820.845,850.455,843.875,0.000,0.000,0
1507100995.186,848.810,820.845,850.455,847.165,0.000,0.000,0
1507100995.186,842.230,829.070,848.810,830.715,0.000,0.000,0
1507100995.186,853.745,822.490,843.875,840.585,0.000,0.000,0
1507100995.186,842.230,822.490,852.100,848.810,0.000,0.000,0
1507100995.186,838.940,820.845,852.100,866.905,0.000,0.000,0
1507100995.186,845.520,822.490,852.100,845.520,0.000,0.000,0
1507100995.186,838.940,819.200,850.455,834.005,0.000,0.000,0
1507100995.186,853.745,819.200,847.165,855.390,0.000,0.000,0
1507100995.269,857.035,822.490,853.745,848.810,0.000,0.000,0
1507100995.269,843.875,825.780,852.100,840.585,0.000,0.000,0
1507100995.269,848.810,820.845,850.455,855.390,0.000,0.000,0
1507100995.269,850.455,819.200,848.810,838.940,0.000,0.000,0
1507100995.269,850.455,825.780,853.745,853.745,0.000,0.000,0
1507100995.269,837.295,822.490,852.100,855.390,0.000,0.000,0
1507100995.269,838.940,830.715,852.100,837.295,0.000,0.000,0
1507100995.269,852.100,825.780,850.455,842.230,0.000,0.000,0
1507100995.269,853.745,825.780,852.100,847.165,0.000,0.000,0
1507100995.269,840.585,827.425,855.390,848.810,0.000,0.000,0
1507100995.269,832.360,817.555,853.745,840.585,0.000,0.000,0
1507100995.269,835.650,820.845,852.100,840.585,0.000,0.000,0
1507100995.269,825.780,825.780,847.165,834.005,0.000,0.000,0
1507100995.269,843.875,822.490,853.745,848.810,0.000,0.000,0
1507100995.269,834.005,824.135,852.100,838.940,0.000,0.000,0
1507100995.269,837.295,825.780,850.455,840.585,0.000,0.000,0
1507100995.335,850.455,822.490,845.520,843.875,0.000,0.000,0
1507100995.335,835.650,829.070,850.455,840.585,0.000,0.000,0
1507100995.335,834.005,827.425,852.100,843.875,0.000,0.000,0
1507100995.335,835.650,815.910,850.455,840.585,0.000,0.000,0
1507100995.335,842.230,812.620,845.520,852.100,0.000,0.000,0
1507100995.335,850.455,827.425,847.165,838.940,0.000,0.000,0
1507100995.335,857.035,827.425,852.100,852.100,0.000,0.000,0
1507100995.335,855.390,819.200,853.745,850.455,0.000,0.000,0
1507100995.335,838.940,822.490,848.810,838.940,0.000,0.000,0
1507100995.335,832.360,812.620,843.875,847.165,0.000,0.000,0
1507100995.335,830.715,822.490,852.100,837.295,0.000,0.000,0
1507100995.335,835.650,830.715,848.810,848.810,0.000,0.000,0
1507100995.335,850.455,822.490,848.810,842.230,0.000,0.000,0
1507100995.335,838.940,819.200,843.875,832.360,0.000,0.000,0
1507100995.335,838.940,822.490,845.520,837.295,0.000,0.000,0
1507100995.335,843.875,829.070,852.100,847.165,0.000,0.000,0
1507100995.419,840.585,827.425,852.100,848.810,0.000,0.000,0
1507100995.419,850.455,817.555,842.230,847.165,0.000,0.000,0
1507100995.419,850.455,819.200,840.585,840.585,0.000,0.000,0
1507100995.419,848.810,827.425,852.100,843.875,0.000,0.000,0
1507100995.419,835.650,825.780,850.455,853.745,0.000,0.000,0
1507100995.419,842.230,827.425,852.100,858.680,0.000,0.000,0
1507100995.419,835.650,819.200,847.165,853.745,0.000,0.000,0
1507100995.419,840.585,819.200,848.810,850.455,0.000,0.000,0
1507100995.419,848.810,825.780,852.100,842.230,0.000,0.000,0
1507100995.419,840.585,829.070,852.100,840.585,0.000,0.000,0
