timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1512337321.980,838.940,843.875,847.165,848.810,0.000,0.000,0
1512337321.984,796.170,829.070,850.455,690.892,0.000,0.000,0
1512337321.989,784.656,837.295,842.230,690.892,0.000,0.000,0
1512337321.993,822.490,835.650,843.875,796.170,0.000,0.000,0
1512337321.998,852.100,830.715,840.585,848.810,0.000,0.000,0
1512337322.002,807.685,840.585,838.940,743.531,0.000,0.000,0
1512337322.007,787.946,837.295,842.230,690.892,0.000,0.000,0
1512337322.011,797.815,832.360,842.230,743.531,0.000,0.000,0
1512337322.016,830.715,847.165,843.875,848.810,0.000,0.000,0
1512337322.020,840.585,837.295,850.455,848.810,0.000,0.000,0
1512337322.025,799.460,837.295,852.100,743.531,0.000,0.000,0
1512337322.029,799.460,837.295,845.520,743.531,0.000,0.000,0
1512337322.034,834.005,838.940,845.520,848.810,0.000,0.000,0
1512337322.038,843.875,835.650,848.810,901.449,0.000,0.000,0
1512337322.043,802.750,835.650,845.520,796.170,0.000,0.000,0
1512337322.047,784.656,840.585,843.875,743.531,0.000,0.000,0
1512337322.052,814.265,838.940,847.165,848.810,0.000,0.000,0
1512337322.057,848.810,840.585,847.165,954.089,0.000,0.000,0
1512337322.061,824.135,840.585,848.810,901.449,0.000,0.000,0
1512337322.066,791.236,838.940,850.455,796.170,0.000,0.000,0
1512337322.070,796.170,832.360,847.165,796.170,0.000,0.000,0
1512337322.075,832.360,838.940,847.165,901.449,0.000,0.000,0
1512337322.079,847.165,837.295,850.455,901.449,0.000,0.000,0
1512337322.084,797.815,829.070,850.455,743.531,0.000,0.000,0
1512337322.088,786.301,830.715,850.455,743.531,0.000,0.000,0
1512337322.093,801.105,837.295,842.230,796.170,0.000,0.000,0
1512337322.097,842.230,835.650,843.875,901.449,0.000,0.000,0
1512337322.102,815.910,835.650,847.165,848.810,0.000,0.000,0
1512337322.106,783.011,837.295,847.165,796.170,0.000,0.000,0
1512337322.111,810.975,837.295,847.165,796.170,0.000,0.000,0
1512337322.115,829.070,843.875,843.875,901.449,0.000,0.000,0
1512337322.120,837.295,840.585,847.165,901.449,0.000,0.000,0
1512337322.124,789.591,835.650,848.810,848.810,0.000,0.000,0
1512337322.129,783.011,834.005,847.165,848.810,0.000,0.000,0
1512337322.134,815.910,842.230,847.165,954.089,0.000,0.000,0
1512337322.138,850.455,840.585,847.165,1006.728,0.000,0.000,0
1512337322.143,820.845,840.585,852.100,901.449,0.000,0.000,0
1512337322.147,799.460,832.360,855.390,848.810,0.000,0.000,0
1512337322.152,810.975,832.360,847.165,848.810,0.000,0.000,0
1512337322.156,838.940,837.295,845.520,954.089,0.000,0.000,0
1512337322.161,835.650,829.070,850.455,954.089,0.000,0.000,0
1512337322.165,786.301,829.070,845.520,848.810,0.000,0.000,0
1512337322.170,786.301,842.230,843.875,848.810,0.000,0.000,0
1512337322.174,822.490,840.585,845.520,954.089,0.000,0.000,0
1512337322.179,843.875,838.940,847.165,954.089,0.000,0.000,0
1512337322.183,807.685,832.360,853.745,848.810,0.000,0.000,0
1512337322.188,787.946,835.650,852.100,796.170,0.000,0.000,0
1512337322.192,815.910,830.715,853.745,848.810,0.000,0.000,0
1512337322.197,825.780,838.940,845.520,848.810,0.000,0.000,0
1512337322.201,822.490,838.940,847.165,796.170,0.000,0.000,0
1512337322.206,792.881,832.360,847.165,690.892,0.000,0.000,0
1512337322.210,796.170,835.650,843.875,690.892,0.000,0.000,0
1512337322.215,838.940,837.295,843.875,796.170,0.000,0.000,0
1512337322.220,832.360,834.005,847.165,796.170,0.000,0.000,0
1512337322.224,789.591,832.360,843.875,690.892,0.000,0.000,0
1512337322.229,804.395,832.360,843.875,690.892,0.000,0.000,0
1512337322.233,814.265,827.425,845.520,743.531,0.000,0.000,0
1512337322.238,842.230,835.650,845.520,796.170,0.000,0.000,0
1512337322.242,822.490,834.005,850.455,743.531,0.000,0.000,0
1512337322.247,771.496,838.940,845.520,690.892,0.000,0.000,0
1512337322.251,809.330,834.005,847.165,743.531,0.000,0.000,0
1512337322.256,838.940,832.360,848.810,848.810,0.000,0.000,0
1512337322.260,819.200,834.005,848.810,848.810,0.000,0.000,0
1512337322.265,791.236,835.650,847.165,743.531,0.000,0.000,0
1512337322.269,791.236,834.005,848.810,771.496,0.000,0.000,0
1512337322.274,820.845,825.780,848.810,876.775,0.000,0.000,0
1512337322.278,845.520,832.360,848.810,876.775,0.000,0.000,0
