,0,1
0,[3],1512337323.155486
1,[1],1512337324.287879
2,[1],1512337324.848919
3,[1],1512337325.378339
4,[1],1512337326.022318
5,[1],1512337326.746303
6,[2],1512337327.428935
7,[1],1512337327.990404
8,[1],1512337328.532648
9,[1],1512337329.266286
10,[1],1512337329.92916
11,[1],1512337330.545488
12,[1],1512337331.205596
13,[1],1512337331.756327
14,[2],1512337332.409753
15,[1],1512337333.093187
16,[1],1512337333.757111
17,[1],1512337334.422193
18,[1],1512337335.116669
19,[1],1512337335.77961
20,[1],1512337336.384646
21,[1],1512337336.989788
22,[1],1512337337.679814
23,[1],1512337338.277374
24,[2],1512337338.905568
25,[1],1512337339.471396
26,[2],1512337340.008039
27,[1],1512337340.669537
28,[1],1512337341.290043
29,[1],1512337342.005645
30,[1],1512337342.660583
31,[2],1512337343.321615
32,[1],1512337343.931688
33,[1],1512337344.513487
34,[1],1512337345.199686
35,[1],1512337345.779447
36,[1],1512337346.41169
37,[1],1512337347.035044
38,[1],1512337347.757804
39,[2],1512337348.465287
40,[1],1512337349.090369
41,[1],1512337349.795306
42,[2],1512337350.505421
43,[1],1512337351.12361
44,[1],1512337351.753674
45,[2],1512337352.333741
46,[1],1512337352.961749
47,[1],1512337353.532488
48,[1],1512337354.208143
49,[1],1512337354.77254
50,[1],1512337355.498002
51,[1],1512337356.134605
52,[1],1512337356.760022
53,[2],1512337357.351581
54,[1],1512337358.050764
55,[2],1512337358.76272
56,[1],1512337359.330042
57,[1],1512337360.018249
58,[1],1512337360.630606
59,[1],1512337361.21426
60,[1],1512337361.942144
61,[1],1512337362.488432
62,[2],1512337363.090344
63,[1],1512337363.7391
64,[2],1512337364.432722
65,[1],1512337365.004463
66,[1],1512337365.624348
67,[1],1512337366.257007
68,[1],1512337366.92244
69,[1],1512337367.572173
70,[1],1512337368.286832
71,[1],1512337368.993357
72,[1],1512337369.56649
73,[2],1512337370.165108
74,[1],1512337370.84708
75,[1],1512337371.42661
76,[1],1512337372.063128
77,[1],1512337372.601433
78,[1],1512337373.171648
79,[1],1512337373.890377
80,[1],1512337374.550297
81,[1],1512337375.172727
82,[1],1512337375.751193
83,[1],1512337376.289923
84,[1],1512337376.944605
85,[1],1512337377.632323
86,[1],1512337378.324745
87,[1],1512337378.865537
88,[1],1512337379.570436
89,[1],1512337380.134541
90,[1],1512337380.682798
91,[1],1512337381.277876
92,[1],1512337381.931893
93,[1],1512337382.644908
94,[1],1512337383.194177
95,[2],1512337383.912685
96,[1],1512337384.614178
97,[1],1512337385.327319
98,[1],1512337385.922088
99,[1],1512337386.546469
100,[1],1512337387.234101
101,[1],1512337387.83027
102,[1],1512337388.48096
103,[1],1512337389.137154
104,[1],1512337389.679198
105,[1],1512337390.28822
106,[1],1512337390.972678
107,[1],1512337391.649814
108,[1],1512337392.250845
109,[1],1512337392.937421
110,[1],1512337393.602259
111,[1],1512337394.282538
112,[2],1512337394.876335
113,[1],1512337395.543473
114,[1],1512337396.222586
115,[1],1512337396.81802
116,[2],1512337397.513437
117,[1],1512337398.088023
118,[1],1512337398.724186
119,[1],1512337399.304206
120,[2],1512337400.004268
121,[1],1512337400.643808
122,[1],1512337401.296001
123,[1],1512337401.971034
124,[1],1512337402.574307
125,[2],1512337403.255187
126,[1],1512337403.958215
127,[2],1512337404.564607
128,[2],1512337405.29504
129,[1],1512337405.872626
130,[2],1512337406.583331
131,[1],1512337407.27839
132,[1],1512337408.012298
133,[1],1512337408.557735
134,[1],1512337409.265134
135,[1],1512337409.956327
136,[1],1512337410.619979
137,[1],1512337411.254304
138,[1],1512337411.866389
139,[1],1512337412.413386
140,[2],1512337412.971414
141,[1],1512337413.556616
142,[1],1512337414.171671
143,[1],1512337414.734372
144,[1],1512337415.364472
145,[1],1512337416.078878
146,[1],1512337416.629326
147,[1],1512337417.173053
148,[1],1512337417.859938
149,[1],1512337418.453037
150,[1],1512337419.184895
151,[2],1512337419.719205
152,[1],1512337420.348984
153,[2],1512337421.044339
154,[1],1512337421.646972
155,[2],1512337422.344653
156,[1],1512337422.983786
157,[1],1512337423.619743
158,[1],1512337424.180006
159,[1],1512337424.884063
160,[1],1512337425.464521
161,[1],1512337426.06149
162,[1],1512337426.63595
163,[1],1512337427.290106
164,[1],1512337427.908716
165,[1],1512337428.538158
166,[1],1512337429.102218
167,[1],1512337429.744065
168,[1],1512337430.305657
169,[1],1512337430.882021
170,[1],1512337431.477132
171,[1],1512337432.056322
172,[1],1512337432.592762
173,[1],1512337433.191464
174,[2],1512337433.781978
175,[1],1512337434.33282
176,[1],1512337435.059184
177,[1],1512337435.709544
178,[1],1512337436.363196
179,[1],1512337436.92548
180,[2],1512337437.536084
181,[1],1512337438.246918
182,[2],1512337438.962066
183,[1],1512337439.609906
184,[2],1512337440.300057
185,[2],1512337440.847276
186,[1],1512337441.422728
187,[1],1512337442.045877
188,[1],1512337442.686251
189,[1],1512337443.360338
190,[3],1512337445.594197
