timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1507857701.067,849.358,826.534,652.029,842.436,0.000,0.000,0
1507857701.069,834.622,859.022,1453.957,824.889,0.000,0.000,0
1507857701.071,846.000,877.323,1221.946,836.267,0.000,0.000,0
1507857701.073,853.471,798.706,90.200,842.847,0.000,0.000,0
1507857701.075,859.502,810.975,547.641,844.149,0.000,0.000,0
1507857701.077,853.265,834.759,782.736,844.081,0.000,0.000,0
1507857701.079,843.190,829.824,697.814,851.003,0.000,0.000,0
1507857701.081,834.690,822.559,626.806,861.901,0.000,0.000,0
1507857701.083,840.654,799.323,296.987,879.927,0.000,0.000,0
1507857701.085,834.896,831.675,938.530,837.638,0.000,0.000,0
1507857701.087,838.940,853.676,1306.457,824.204,0.000,0.000,0
1507857701.089,850.386,862.929,1114.269,837.569,0.000,0.000,0
1507857701.091,856.007,824.341,674.236,853.745,0.000,0.000,0
1507857701.093,858.611,818.583,679.720,861.284,0.000,0.000,0
1507857701.095,860.667,825.712,753.264,853.471,0.000,0.000,0
1507857701.097,865.054,801.517,429.408,867.727,0.000,0.000,0
1507857701.099,854.979,831.195,770.879,852.305,0.000,0.000,0
1507857701.101,849.495,828.864,976.570,843.052,0.000,0.000,0
1507857701.103,834.416,883.766,1609.065,838.323,0.000,0.000,0
1507857701.105,852.168,833.251,422.554,868.001,0.000,0.000,0
1507857701.107,849.016,788.357,123.236,877.323,0.000,0.000,0
1507857701.109,839.351,817.281,555.181,861.901,0.000,0.000,0
1507857701.111,836.198,834.965,725.779,849.906,0.000,0.000,0
1507857701.113,849.084,842.367,811.249,853.676,0.000,0.000,0
1507857701.115,866.905,833.525,626.600,869.920,0.000,0.000,0
1507857701.117,852.237,810.975,849.016,837.158,0.000,0.000,0
1507857701.119,842.778,820.640,772.250,817.966,0.000,0.000,0
1507857701.121,837.226,862.724,1395.834,823.998,0.000,0.000,0
1507857701.123,839.900,822.627,548.327,850.660,0.000,0.000,0
1507857701.125,831.058,806.657,473.686,859.091,0.000,0.000,0
1507857701.127,839.625,819.680,644.627,852.922,0.000,0.000,0
1507857701.129,847.850,830.235,758.473,852.031,0.000,0.000,0
1507857701.131,849.016,806.931,601.514,854.636,0.000,0.000,0
1507857701.133,846.205,830.578,596.717,829.276,0.000,0.000,0
1507857701.135,836.678,832.497,1014.610,821.805,0.000,0.000,0
1507857701.137,844.560,880.202,1543.471,836.884,0.000,0.000,0
1507857701.139,849.701,824.615,288.626,871.497,0.000,0.000,0
1507857701.141,828.385,794.046,204.320,861.970,0.000,0.000,0
1507857701.143,833.594,818.857,600.623,857.103,0.000,0.000,0
1507857701.145,843.464,839.831,830.921,861.490,0.000,0.000,0
1507857701.147,847.439,842.778,852.374,849.221,0.000,0.000,0
1507857701.149,854.636,816.459,442.226,872.456,0.000,0.000,0
1507857701.151,830.509,825.643,1034.144,835.376,0.000,0.000,0
1507857701.153,830.441,816.938,882.875,815.019,0.000,0.000,0
1507857701.155,845.520,806.726,541.267,807.754,0.000,0.000,0
1507857701.157,836.952,812.483,615.223,805.972,0.000,0.000,0
1507857701.159,832.771,832.223,951.347,794.251,0.000,0.000,0
1507857701.161,825.575,832.497,1112.281,772.935,0.000,0.000,0
1507857701.163,837.021,822.970,849.564,784.450,0.000,0.000,0
1507857701.165,845.040,823.792,755.320,792.812,0.000,0.000,0
1507857701.167,847.713,830.647,713.442,793.497,0.000,0.000,0
1507857701.169,846.411,842.984,895.966,797.199,0.000,0.000,0
1507857701.171,837.706,830.167,930.990,802.682,0.000,0.000,0
1507857701.173,834.896,813.648,532.974,814.882,0.000,0.000,0
1507857701.175,842.984,855.870,1144.632,817.898,0.000,0.000,0
1507857701.177,860.188,845.931,902.889,840.105,0.000,0.000,0
1507857701.179,841.682,828.179,657.992,849.632,0.000,0.000,0
1507857701.181,851.277,825.575,575.195,856.075,0.000,0.000,0
1507857701.183,862.381,811.181,755.594,873.485,0.000,0.000,1
1507857701.185,848.467,828.042,578.416,865.191,0.000,0.000,0
1507857701.187,823.587,862.724,1331.063,837.158,0.000,0.000,0
1507857701.189,842.093,853.950,906.727,844.560,0.000,0.000,0
1507857701.191,857.652,827.425,678.212,861.901,0.000,0.000,0
1507857701.193,853.882,826.123,700.008,873.142,0.000,0.000,0
1507857701.195,843.052,823.587,524.337,878.488,0.000,0.000,0
1507857701.197,838.460,816.459,827.151,860.942,0.000,0.000,0
1507857701.199,840.928,824.067,635.168,866.562,0.000,0.000,0
1507857701.201,827.082,878.145,1587.543,861.627,0.000,0.000,0
1507857701.203,844.149,884.108,1291.789,867.521,0.000,0.000,0
1507857701.205,855.184,804.464,37.492,868.550,0.000,0.000,0
1507857701.207,849.084,798.432,247.295,867.727,0.000,0.000,0
1507857701.209,854.841,833.662,745.313,874.513,0.000,0.000,0
1507857701.211,842.847,842.161,781.708,868.824,0.000,0.000,0
1507857701.213,832.154,828.796,626.875,863.341,0.000,0.000,0
1507857701.215,840.996,827.768,729.138,866.219,0.000,0.000,0
1507857701.217,861.970,832.154,809.673,878.419,0.000,0.000,0
1507857701.219,852.854,807.068,714.812,884.108,0.000,0.000,0
1507857701.221,838.392,823.861,470.190,855.801,0.000,0.000,0
1507857701.222,819.611,833.251,952.718,821.256,0.000,0.000,0
1507857701.224,815.362,840.722,784.450,834.005,0.000,0.000,0
1507857701.226,817.555,828.385,625.915,852.922,0.000,0.000,0
1507857701.228,829.961,830.989,709.055,857.309,0.000,0.000,0
1507857701.230,844.903,814.471,542.090,860.462,0.000,0.000,0
1507857701.232,851.483,847.370,769.234,831.126,0.000,0.000,0
1507857701.234,844.012,835.924,911.867,822.079,0.000,0.000,0
1507857701.236,838.529,860.530,1029.758,831.469,0.000,0.000,0
1507857701.238,827.905,833.320,639.623,844.629,0.000,0.000,0
1507857701.240,829.755,825.300,581.226,847.987,0.000,0.000,0
1507857701.242,839.283,834.759,700.145,852.443,0.000,0.000,0
1507857701.244,853.539,846.274,806.040,854.156,0.000,0.000,0
1507857701.246,864.094,850.660,853.676,860.805,0.000,0.000,0
1507857701.248,858.817,816.253,541.747,865.328,0.000,0.000,0
1507857701.250,837.912,827.425,534.413,838.666,0.000,0.000,0
1507857701.252,831.675,866.425,1438.878,818.995,0.000,0.000,0
1507857701.254,851.894,867.247,876.569,841.339,0.000,0.000,0
1507857701.256,865.877,820.228,451.273,854.841,0.000,0.000,0
