timestamps,TP9,FP1,FP2,TP10,n/a,n/a
1509076510.984,900.558,824.683,862.655,896.788,0.000,0.000
1509076510.984,850.798,817.075,853.813,842.984,0.000,0.000
1509076510.984,805.012,811.935,841.819,800.763,0.000,0.000
1509076510.984,773.483,809.193,836.884,782.394,0.000,0.000
1509076510.984,779.789,808.919,836.198,798.706,0.000,0.000
1509076510.984,800.900,813.169,842.778,805.903,0.000,0.000
1509076510.984,842.436,816.390,846.891,841.613,0.000,0.000
1509076510.984,885.205,815.842,855.390,883.697,0.000,0.000
1509076510.984,928.043,812.894,864.848,918.721,0.000,0.000
1509076511.000,934.212,813.991,869.920,923.931,0.000,0.000
1509076511.000,901.792,818.309,863.478,900.421,0.000,0.000
1509076511.000,851.826,819.680,852.922,850.660,0.000,0.000
1509076511.000,801.174,819.817,840.791,800.900,0.000,0.000
1509076511.000,772.318,821.873,839.831,781.434,0.000,0.000
1509076511.000,783.833,824.341,840.654,796.376,0.000,0.000
1509076511.000,811.524,825.986,842.778,819.269,0.000,0.000
1509076511.000,836.747,829.207,847.713,851.072,0.000,0.000
1509076511.018,873.690,832.086,856.555,887.398,0.000,0.000
1509076511.018,918.721,834.074,863.409,917.419,0.000,0.000
1509076511.018,936.679,833.731,866.288,927.632,0.000,0.000
1509076511.018,906.179,829.893,864.780,901.998,0.000,0.000
1509076511.018,846.685,823.724,856.075,840.448,0.000,0.000
1509076511.018,798.432,813.374,843.258,792.058,0.000,0.000
1509076511.018,776.499,806.315,836.747,784.176,0.000,0.000
1509076511.018,782.462,811.044,834.142,798.569,0.000,0.000
1509076511.035,809.193,820.434,837.501,818.035,0.000,0.000
1509076511.035,841.956,822.285,847.233,850.729,0.000,0.000
1509076511.035,884.931,824.889,852.785,889.318,0.000,0.000
1509076511.035,923.451,830.441,863.066,913.649,0.000,0.000
1509076511.035,934.897,834.348,866.973,919.681,0.000,0.000
1509076511.035,897.131,829.618,866.356,888.289,0.000,0.000
1509076511.035,851.414,816.733,854.430,846.411,0.000,0.000
1509076511.035,803.504,809.262,843.190,794.937,0.000,0.000
1509076511.035,777.596,802.545,836.815,777.939,0.000,0.000
1509076511.050,780.475,804.807,835.856,790.413,0.000,0.000
1509076511.050,806.383,810.016,840.242,813.991,0.000,0.000
1509076511.050,849.153,812.894,845.931,855.732,0.000,0.000
1509076511.050,884.794,820.091,855.801,884.794,0.000,0.000
1509076511.050,922.286,827.562,862.587,907.001,0.000,0.000
1509076511.050,926.672,832.908,865.877,910.017,0.000,0.000
1509076511.050,894.801,830.304,862.107,889.797,0.000,0.000
1509076511.050,849.153,826.877,853.059,843.121,0.000,0.000
1509076511.068,800.694,824.409,842.298,798.706,0.000,0.000
1509076511.068,779.721,819.543,836.267,785.272,0.000,0.000
1509076511.068,780.817,816.733,832.292,790.482,0.000,0.000
1509076511.068,799.666,817.829,836.678,808.782,0.000,0.000
1509076511.068,827.905,816.390,849.975,838.734,0.000,0.000
1509076511.068,879.859,820.297,857.035,885.205,0.000,0.000
1509076511.068,928.249,825.232,862.381,924.205,0.000,0.000
1509076511.068,939.489,829.070,866.836,931.676,0.000,0.000
1509076511.084,908.989,830.578,862.381,909.263,0.000,0.000
1509076511.084,853.745,826.808,848.741,848.399,0.000,0.000
1509076511.084,800.626,816.938,834.211,797.610,0.000,0.000
1509076511.084,761.969,812.072,829.070,771.701,0.000,0.000
1509076511.084,767.589,807.274,829.618,783.148,0.000,0.000
1509076511.084,793.155,814.539,837.980,801.791,0.000,0.000
1509076511.084,832.771,820.982,843.669,843.121,0.000,0.000
1509076511.084,872.319,829.413,850.866,876.980,0.000,0.000
1509076511.104,912.553,836.610,858.543,905.699,0.000,0.000
1509076511.104,922.903,837.569,861.696,910.154,0.000,0.000
1509076511.104,898.639,833.183,858.748,889.112,0.000,0.000
1509076511.104,847.782,827.699,848.124,832.634,0.000,0.000
1509076511.104,797.336,819.269,835.170,786.849,0.000,0.000
1509076511.104,765.738,814.402,830.715,772.729,0.000,0.000
1509076511.104,761.283,815.293,832.771,778.418,0.000,0.000
1509076511.104,789.385,818.652,835.719,802.476,0.000,0.000
1509076511.104,828.659,820.571,843.327,839.762,0.000,0.000
1509076511.119,872.456,823.998,854.019,877.391,0.000,0.000
1509076511.119,921.326,824.135,860.805,912.896,0.000,0.000
1509076511.119,932.156,825.369,862.381,916.734,0.000,0.000
1509076511.119,897.474,827.288,857.926,891.237,0.000,0.000
1509076511.119,847.576,823.930,846.548,842.230,0.000,0.000
1509076511.119,790.070,820.365,836.610,790.139,0.000,0.000
1509076511.119,761.146,821.188,832.292,771.153,0.000,0.000
1509076511.119,772.592,820.434,831.538,782.188,0.000,0.000
1509076511.135,802.682,814.608,835.719,805.629,0.000,0.000
1509076511.135,837.158,808.234,843.532,844.012,0.000,0.000
1509076511.135,882.189,810.358,849.632,884.383,0.000,0.000
1509076511.135,928.180,817.075,860.051,913.375,0.000,0.000
1509076511.135,934.554,827.219,862.038,914.541,0.000,0.000
1509076511.135,891.716,829.755,857.446,882.875,0.000,0.000
1509076511.135,837.089,829.070,847.165,825.917,0.000,0.000
1509076511.135,790.482,823.724,836.404,781.229,0.000,0.000
1509076511.135,772.387,819.063,829.893,770.879,0.000,0.000
1509076511.158,780.680,818.241,829.755,787.260,0.000,0.000
1509076511.158,807.000,817.761,834.416,811.181,0.000,0.000
1509076511.158,844.286,815.156,839.557,850.318,0.000,0.000
