,0,1
0,[3],1509076511.899817
1,[1],1509076514.254953
2,[1],1509076514.826154
3,[2],1509076515.462405
4,[1],1509076516.141537
5,[1],1509076516.705092
6,[1],1509076517.381085
7,[1],1509076518.016539
8,[2],1509076518.730183
9,[1],1509076519.291386
10,[2],1509076519.929547
11,[1],1509076520.568579
12,[1],1509076521.276026
13,[1],1509076521.809648
14,[1],1509076522.435953
15,[1],1509076523.082712
16,[1],1509076523.64889
17,[1],1509076524.336023
18,[1],1509076524.877787
19,[1],1509076525.508463
20,[1],1509076526.155265
21,[1],1509076526.868935
22,[1],1509076527.506849
23,[1],1509076528.182693
24,[1],1509076528.800277
25,[1],1509076529.427104
26,[2],1509076530.018991
27,[1],1509076530.628672
28,[1],1509076531.18565
29,[1],1509076531.882318
30,[1],1509076532.5914
31,[1],1509076533.312281
32,[1],1509076533.913739
33,[1],1509076534.627988
34,[1],1509076535.258307
35,[2],1509076535.940407
36,[1],1509076536.612963
37,[2],1509076537.162432
38,[1],1509076537.732624
39,[1],1509076538.471404
40,[2],1509076539.070038
41,[1],1509076539.636331
42,[1],1509076540.208039
43,[1],1509076540.94222
44,[1],1509076541.563651
45,[1],1509076542.245063
46,[1],1509076542.804294
47,[1],1509076543.486219
48,[2],1509076544.142642
49,[1],1509076544.742706
50,[1],1509076545.288049
51,[1],1509076545.884462
52,[2],1509076546.55741
53,[1],1509076547.233794
54,[1],1509076547.83494
55,[1],1509076548.396921
56,[1],1509076549.040844
57,[1],1509076549.748478
58,[1],1509076550.365928
59,[1],1509076550.968375
60,[1],1509076551.531384
61,[1],1509076552.174956
62,[1],1509076552.754299
63,[1],1509076553.454188
64,[1],1509076554.162739
65,[1],1509076554.743729
66,[1],1509076555.384192
67,[1],1509076556.041699
68,[1],1509076556.601285
69,[1],1509076557.23053
70,[1],1509076557.838699
71,[1],1509076558.469766
72,[1],1509076559.085119
73,[1],1509076559.751201
74,[1],1509076560.289508
75,[1],1509076560.956532
76,[1],1509076561.595405
77,[1],1509076562.16319
78,[2],1509076562.793961
79,[1],1509076563.51174
80,[1],1509076564.161797
81,[1],1509076564.764808
82,[1],1509076565.300555
83,[1],1509076565.831453
84,[1],1509076566.418703
85,[2],1509076567.085201
86,[2],1509076567.718406
87,[1],1509076568.27651
88,[1],1509076568.935198
89,[1],1509076569.522834
90,[2],1509076570.118631
91,[1],1509076570.819814
92,[1],1509076571.38799
93,[2],1509076572.121398
94,[2],1509076572.766624
95,[1],1509076573.476167
96,[1],1509076574.027401
97,[1],1509076574.585897
98,[1],1509076575.147759
99,[1],1509076575.808599
100,[1],1509076576.468227
101,[1],1509076577.008385
102,[1],1509076577.627764
103,[1],1509076578.35018
104,[1],1509076578.986053
105,[1],1509076579.643925
106,[1],1509076580.288403
107,[1],1509076580.995575
108,[1],1509076581.631477
109,[1],1509076582.183068
110,[2],1509076582.873684
111,[1],1509076583.575759
112,[1],1509076584.146185
113,[1],1509076584.82544
114,[1],1509076585.523937
115,[1],1509076586.22001
116,[1],1509076586.898704
117,[2],1509076587.498704
118,[1],1509076588.096398
119,[1],1509076588.802511
120,[1],1509076589.524013
121,[1],1509076590.072594
122,[1],1509076590.600347
123,[2],1509076591.150009
124,[2],1509076591.825567
125,[1],1509076592.498297
126,[1],1509076593.085485
127,[2],1509076593.76733
128,[1],1509076594.454441
129,[1],1509076595.042978
130,[1],1509076595.613037
131,[1],1509076596.339808
132,[2],1509076596.967071
133,[1],1509076597.608142
134,[1],1509076598.263019
135,[2],1509076598.837564
136,[1],1509076599.559552
137,[1],1509076600.278487
138,[1],1509076600.97217
139,[1],1509076601.631446
140,[1],1509076602.223443
141,[1],1509076602.855886
142,[1],1509076603.471236
143,[1],1509076604.01403
144,[1],1509076604.725926
145,[1],1509076605.272907
146,[1],1509076605.957536
147,[1],1509076606.576106
148,[1],1509076607.17626
149,[1],1509076607.899407
150,[1],1509076608.597572
151,[1],1509076609.248157
152,[1],1509076609.929453
153,[1],1509076610.54051
154,[1],1509076611.170347
155,[1],1509076611.873177
156,[2],1509076612.567227
157,[1],1509076613.181148
158,[1],1509076613.791142
159,[1],1509076614.437705
160,[1],1509076615.087713
161,[1],1509076615.797607
162,[1],1509076616.521029
163,[1],1509076617.146366
164,[1],1509076617.736824
165,[1],1509076618.431113
166,[2],1509076619.122129
167,[1],1509076619.797333
168,[1],1509076620.36953
169,[1],1509076620.984539
170,[1],1509076621.704235
171,[1],1509076622.241199
172,[1],1509076622.892526
173,[1],1509076623.573111
174,[1],1509076624.294126
175,[1],1509076624.843234
176,[2],1509076625.470249
177,[1],1509076626.010135
178,[2],1509076626.577525
179,[1],1509076627.25705
180,[1],1509076627.938009
181,[1],1509076628.574919
182,[1],1509076629.146192
183,[1],1509076629.866805
184,[1],1509076630.40311
185,[2],1509076630.975623
186,[1],1509076631.607347
187,[1],1509076632.138685
