timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1507860450.233,841.270,826.466,844.903,818.035,0.000,0.000,0
1507860450.235,838.117,824.135,847.782,830.030,0.000,0.000,0
1507860450.237,835.650,821.668,847.028,825.986,0.000,0.000,0
1507860450.239,832.703,823.930,844.903,812.689,0.000,0.000,0
1507860450.241,827.014,824.958,845.177,808.371,0.000,0.000,0
1507860450.243,829.002,824.683,843.327,812.209,0.000,0.000,0
1507860450.245,833.662,826.808,843.806,817.761,0.000,0.000,0
1507860450.247,837.775,827.151,846.959,822.627,0.000,0.000,0
1507860450.249,838.940,828.179,847.233,822.627,0.000,0.000,0
1507860450.251,841.750,827.425,845.657,820.845,0.000,0.000,0
1507860450.253,841.682,825.712,845.657,820.434,0.000,0.000,0
1507860450.255,836.884,824.135,845.109,823.176,0.000,0.000,0
1507860450.257,845.383,823.930,846.479,833.457,0.000,0.000,0
1507860450.259,836.404,822.147,849.084,823.724,0.000,0.000,0
1507860450.261,828.590,817.966,847.439,819.132,0.000,0.000,0
1507860450.263,828.453,820.023,846.000,822.627,0.000,0.000,0
1507860450.265,834.896,822.353,845.246,821.188,0.000,0.000,0
1507860450.267,840.379,823.792,846.274,826.466,0.000,0.000,0
1507860450.269,841.065,823.381,846.137,827.425,0.000,0.000,0
1507860450.271,847.987,821.325,846.891,830.372,0.000,0.000,0
1507860450.273,849.427,821.325,841.545,839.077,0.000,0.000,0
1507860450.275,840.928,823.176,841.887,833.251,0.000,0.000,0
1507860450.277,830.715,827.014,845.246,822.901,0.000,0.000,0
1507860450.279,834.416,827.562,847.370,828.385,0.000,0.000,0
1507860450.281,832.086,825.232,847.439,827.973,0.000,0.000,0
1507860450.283,831.469,822.901,845.794,822.970,0.000,0.000,0
1507860450.285,839.351,821.188,847.576,839.762,0.000,0.000,0
1507860450.287,832.292,822.285,847.439,836.335,0.000,0.000,0
1507860450.289,838.871,824.135,845.931,836.198,0.000,0.000,0
1507860450.291,841.339,826.740,844.560,824.821,0.000,0.000,0
1507860450.293,849.975,830.715,845.520,824.889,0.000,0.000,0
1507860450.295,845.931,831.263,848.399,826.534,0.000,0.000,0
1507860450.297,836.610,827.836,848.741,823.587,0.000,0.000,0
1507860450.299,833.525,820.982,844.355,816.733,0.000,0.000,0
1507860450.301,832.908,814.814,844.218,814.128,0.000,0.000,0
1507860450.303,832.908,817.487,843.601,813.854,0.000,0.000,0
